timestamp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
2020-03-20T16:57:06+08:00,-84,-74,0,0,0,0,-90,-85,-95,-100,-92,-82,0,0,2
2020-03-20T16:57:14+08:00,-88,-78,0,0,0,0,-96,-89,-91,0,-87,-90,0,0,2
2020-03-20T16:57:22+08:00,-80,0,0,0,0,0,-90,-90,-95,0,0,-91,0,0,2
2020-03-20T16:57:31+08:00,-90,0,0,0,0,0,0,-86,-94,0,-92,-82,0,0,2
2020-03-20T16:57:39+08:00,-88,0,0,0,0,0,-97,-102,-95,-100,-88,-91,0,0,2
2020-03-20T16:57:47+08:00,-80,0,0,0,0,0,-98,-89,0,0,0,-90,0,0,2
2020-03-20T16:57:55+08:00,-90,0,0,0,0,-90,0,0,0,0,0,-82,0,0,2
2020-03-20T16:58:03+08:00,-88,-78,0,0,0,-92,0,0,0,0,-88,-91,0,0,2
2020-03-20T16:58:12+08:00,-80,-76,0,0,0,-95,-96,0,0,0,0,-91,0,0,2
2020-03-20T16:58:20+08:00,-90,-73,0,0,0,-86,0,0,0,0,-91,0,0,0,2
2020-03-20T16:58:28+08:00,-88,-78,-71,0,0,-94,0,0,-90,0,-87,-91,0,0,2
2020-03-20T16:58:36+08:00,-80,0,-75,0,0,-97,-96,0,-95,0,0,-82,0,0,2
2020-03-20T16:58:44+08:00,-90,0,-72,0,0,-86,-89,0,-95,0,-91,0,0,0,2
2020-03-20T16:58:53+08:00,-88,0,-71,0,0,-91,0,0,-95,0,-94,0,0,0,2
2020-03-20T16:59:01+08:00,-80,0,-75,0,-93,-96,0,0,-96,0,0,0,0,0,2
2020-03-20T16:59:09+08:00,-90,0,-72,0,-81,-86,-88,-85,0,0,-91,0,0,0,2
2020-03-20T16:59:17+08:00,-88,-78,-71,-92,-85,0,-100,-89,0,0,-88,0,0,0,2
2020-03-20T16:59:25+08:00,-80,-75,-75,-88,0,0,0,-89,0,0,0,0,0,0,2
2020-03-20T16:59:33+08:00,-89,-74,-72,-94,-81,0,-88,-86,0,0,-92,0,0,0,2
2020-03-20T16:59:42+08:00,-88,-75,-70,-89,-85,0,-101,-90,0,0,-87,0,0,0,2
2020-03-20T16:59:50+08:00,-80,0,0,-93,-94,0,-90,-89,0,0,0,0,0,0,2
2020-03-20T16:59:58+08:00,-90,0,0,-91,-82,0,0,0,-90,0,0,0,0,0,2
2020-03-20T17:00:06+08:00,-87,0,0,-92,-88,0,0,0,-91,0,-88,0,0,0,2
2020-03-20T17:00:14+08:00,-80,0,0,-91,-94,0,-88,0,-96,0,-92,0,0,0,2
2020-03-20T17:00:23+08:00,-91,0,0,-90,-82,0,0,0,-94,0,0,0,0,0,2
2020-03-20T17:00:31+08:00,-88,-78,0,-92,-85,0,0,0,-95,0,-95,-92,0,0,2
2020-03-20T17:00:39+08:00,-80,-75,0,-90,0,0,-89,0,0,0,-90,-91,0,0,2
2020-03-20T17:00:47+08:00,-90,-74,0,-92,-80,-87,-98,0,0,0,0,-82,0,0,2
2020-03-20T17:00:56+08:00,-87,-78,0,-92,-86,-89,0,0,0,-101,-88,-91,0,0,2
2020-03-20T17:01:03+08:00,-90,0,0,-91,-96,-95,0,-90,0,0,0,-91,0,0,2
2020-03-20T17:01:12+08:00,-91,0,0,0,-81,-87,-90,-85,0,-101,0,-82,0,0,2
2020-03-20T17:01:20+08:00,-88,0,0,0,-86,-89,0,-89,-91,0,-88,-90,0,0,2
2020-03-20T17:01:28+08:00,-80,0,0,0,-92,-85,0,-90,-96,0,-91,-93,0,0,2
2020-03-20T17:01:36+08:00,-90,0,-72,0,-81,-86,-89,-86,-94,0,0,-82,0,0,2
2020-03-20T17:01:44+08:00,0,-78,-70,0,-85,-91,-98,0,-91,0,-88,-91,0,0,2
2020-03-20T17:01:53+08:00,0,-76,-74,0,-96,-86,0,-89,-95,0,-91,-93,0,0,2
2020-03-20T17:02:01+08:00,0,-74,-72,0,-81,-93,0,0,0,0,0,-82,0,0,2
2020-03-20T17:02:09+08:00,0,-78,-71,0,-86,0,-96,0,0,-99,-87,0,0,0,2
2020-03-20T17:02:17+08:00,0,0,-75,0,-98,0,-90,0,0,0,-91,0,0,0,2
2020-03-20T17:02:25+08:00,0,0,-72,0,-81,0,0,0,0,-102,0,0,0,0,2
2020-03-20T17:02:34+08:00,0,0,-71,0,-85,0,-99,0,0,0,-87,0,0,0,2
2020-03-20T17:02:42+08:00,-88,-78,-71,-90,-81,-94,-96,0,-92,-101,-87,-91,0,0,2
2020-03-20T17:02:47+08:00,0,-74,0,-93,0,-88,-90,-85,0,0,-91,-82,0,0,2
2020-03-20T17:02:53+08:00,0,-78,0,-92,-84,-90,-99,-91,0,0,-95,-91,0,0,2
2020-03-20T17:03:01+08:00,0,0,0,-92,-96,-85,0,-85,0,0,0,-91,0,0,2
2020-03-20T17:03:10+08:00,0,0,0,-94,-80,-86,0,0,0,0,-91,-82,0,0,2
2020-03-20T17:03:18+08:00,0,0,0,-89,-85,0,-99,0,0,0,-95,-91,0,0,2
2020-03-20T17:03:26+08:00,0,0,-75,-90,0,0,-97,0,-93,0,0,-93,0,0,2
2020-03-20T17:03:34+08:00,0,0,-72,-93,0,0,0,0,-94,-102,-92,-82,0,0,2
2020-03-20T17:03:42+08:00,0,-78,-71,-90,0,0,0,0,-91,-99,-87,0,0,0,2
2020-03-20T17:03:51+08:00,0,-75,-72,0,0,0,-97,0,-93,-101,0,0,0,0,2
2020-03-20T17:03:59+08:00,0,-73,-72,0,0,0,-98,0,-92,0,-92,0,0,0,2
2020-03-20T17:04:07+08:00,-88,-78,-71,0,0,0,0,0,0,-99,-87,0,0,0,2
