Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,Location
27/3/20, 11:58:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B2,178,"10,4"
27/3/20, 11:58:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7676,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097676BD,189,"10,4"
27/3/20, 11:58:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674C1,193,"10,4"
27/3/20, 11:58:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x916D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001916DB7,183,"10,4"
27/3/20, 11:58:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x6E77,34.8,47, 0201041AFF4C0002150005000100001000800000805F9B0131000A6E77B1,177,"10,4"
27/3/20, 11:58:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8571,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028571B9,185,"10,4"
27/3/20, 11:58:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C75B5,181,"10,4"
27/3/20, 11:58:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000C7677BB,187,"10,4"
27/3/20, 11:58:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FC1,193,"10,4"
27/3/20, 11:58:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B2,178,"10,4"
27/3/20, 11:58:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100058C74B5,181,"10,4"
27/3/20, 11:58:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097576BD,189,"10,4"
27/3/20, 11:58:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674C1,193,"10,4"
27/3/20, 11:58:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x916D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001916DB8,184,"10,4"
27/3/20, 11:58:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C75B5,181,"10,4"
27/3/20, 11:58:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8571,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028571B9,185,"10,4"
27/3/20, 11:58:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000C7677BA,186,"10,4"
27/3/20, 11:58:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FC1,193,"10,4"
27/3/20, 11:58:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B3,179,"10,4"
27/3/20, 11:58:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7676,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097676BC,188,"10,4"
27/3/20, 11:58:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674C1,193,"10,4"
27/3/20, 11:58:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x6E77,34.8,47, 0201041AFF4C0002150005000100001000800000805F9B0131000A6E77B1,177,"10,4"
27/3/20, 11:58:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100058C74B5,181,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x916D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001916DB8,184,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C75B4,180,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8471,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028471B9,185,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000C7677BD,189,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7676,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100087676B1,177,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7576B1,177,"10,4"
27/3/20, 11:58:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B1,177,"10,4"
27/3/20, 11:58:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7676,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097676B4,180,"10,4"
27/3/20, 11:58:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674BE,190,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x916D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001916DB2,178,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100058C74B9,185,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8471,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028471B8,184,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000C7677BC,188,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7576B1,177,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B1,177,"10,4"
27/3/20, 11:58:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FC1,193,"10,4"
27/3/20, 11:58:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7676,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097676B4,180,"10,4"
27/3/20, 11:58:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x8674,32.8,59, 0201041AFF4C0002150005000100001000800000805F9B013100068674BD,189,"10,4"
27/3/20, 11:58:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x916D,28,64, 0201041AFF4C0002150005000100001000800000805F9B01310001916DB3,179,"10,4"
27/3/20, 11:58:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7576B1,177,"10,4"
27/3/20, 11:58:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000C7677BC,188,"10,4"
27/3/20, 11:58:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8471,30.7,58, 0201041AFF4C0002150005000100001000800000805F9B013100028471B8,184,"10,4"
27/3/20, 11:58:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7177,34.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077177B1,177,"10,4"
27/3/20, 11:58:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100087675B1,177,"10,4"
27/3/20, 11:58:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x956F,29.3,66, 0201041AFF4C0002150005000100001000800000805F9B01310003956FC1,193,"10,4"
27/3/20, 11:58:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8C74,32.8,62, 0201041AFF4C0002150005000100001000800000805F9B013100058C74BB,187,"10,4"
27/3/20, 11:58:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7576,34.1,51, 0201041AFF4C0002150005000100001000800000805F9B013100097576B3,179,"10,4"
