Date,Time,Type,ID0,ID1,ID2,Sensor Data,Temperature,Humidity,Raw Data,RSSI,dBm,Label
13/3/20, 17:19:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7B74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100027B74B9,185,-24.31,A
13/3/20, 17:19:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0xA36D,28,73, 0201041AFF4C0002150005000100001000800000805F9B0131000BA36DB3,179,-27.154,A
13/3/20, 17:19:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8570,30,58, 0201041AFF4C0002150005000100001000800000805F9B013100038570B2,178,-27.628,A
13/3/20, 17:19:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B0131000A946DB1,177,-28.102,A
13/3/20, 17:19:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8371,30.7,57, 0201041AFF4C0002150005000100001000800000805F9B013100018371BB,187,-23.362,A
13/3/20, 17:19:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x8174,32.8,56, 0201041AFF4C0002150005000100001000800000805F9B013100078174B1,177,-28.102,A
13/3/20, 17:19:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x8C6F,29.3,62, 0201041AFF4C0002150005000100001000800000805F9B013100048C6FB1,177,-28.102,A
13/3/20, 17:19:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100088B72B1,177,-28.102,A
13/3/20, 17:19:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7B74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100027B74BD,189,-22.414,A
13/3/20, 17:19:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0xA26D,28,73, 0201041AFF4C0002150005000100001000800000805F9B0131000BA26DB3,179,-27.154,A
